REG,HHID,RFACT,FSIZE,CHLD_6_11,CHLD_12_15,CHLD_5_17,PER_18_UP,WRK_HEAD,WRK_18,WRK_5_17,EDUC_6_11,EDUC_12_15,HHMELEM_6_11,HHMHS_12_15,H04_SEX,H05_AGE,H06_STATUS,H08_CUR_ATTEND,H09_CUR_GRADE,H10_YNOT_ATTND,H12_HGC,H13_DID_WORK,H14_CLS_WKR,C16_FAMILL,C20_FAMFIN,URB
14,000100100000000025001,00157.7207,005,0,0,1,1,0,1,0,0,0,00,00,1,66,2,,,,24013,1,3,00,01,2
14,000100200000000025002,00157.7207,004,0,0,0,1,1,1,0,0,0,00,00,1,63,2,,,,10018,1,4,00,01,2
14,000100300000000025003,00157.7207,004,0,1,1,1,0,1,0,0,1,00,02,1,38,2,,,,24015,1,3,01,00,2
14,000100400000000025004,00157.7207,003,0,0,0,1,1,1,0,0,0,00,00,1,69,2,,,,60111,2,,00,01,2
14,000100500000000025005,00157.7207,005,1,0,1,1,0,1,0,1,0,01,00,1,26,2,,,,10018,1,1,00,00,2
14,000100600000000025006,00157.7207,001,0,0,0,1,0,0,0,0,0,00,00,2,76,1,,,,24014,2,,00,01,2
14,000100700000000025007,00157.7207,001,0,0,0,1,0,0,0,0,0,00,00,2,62,3,,,,10018,2,,00,01,2
14,000100800000000025008,00157.7207,006,1,1,1,1,0,1,0,1,1,01,02,1,41,2,,,,24013,1,3,00,01,2
14,000100900000000025009,00157.7207,005,0,1,1,1,0,1,0,0,1,00,01,2,78,3,,,,10018,2,,01,00,2
14,000101000000000025010,00157.7207,003,0,0,0,1,0,1,0,0,0,00,00,1,28,2,,,,60001,1,3,00,00,2
14,000101100000000025011,00157.7207,004,0,1,1,1,0,1,0,0,1,00,01,1,40,2,,,,60413,1,2,00,01,2
14,000101200000000025012,00157.7207,005,1,0,1,1,0,1,0,1,0,02,00,1,39,2,,,,60002,1,3,00,00,2
14,000101300000000025013,00157.7207,002,0,0,0,1,0,1,0,0,0,00,00,1,69,2,,,,24015,1,3,00,00,2
14,000101400000000025014,00157.7207,002,0,0,0,1,0,1,0,0,0,00,00,1,60,2,,,,24015,1,3,00,01,2
14,000101500000000025015,00157.7207,005,1,0,1,1,0,1,0,1,0,01,00,2,41,2,,,,24015,1,1,01,00,2
14,000101600000000025016,00157.7207,002,0,0,0,1,0,1,0,0,0,00,00,2,55,2,,,,60111,1,3,01,01,2
14,000101700000000025017,00157.7207,005,0,1,1,1,0,1,0,0,1,00,01,1,52,2,,,,60413,1,2,00,01,2
14,000101800000000025018,00157.7207,001,0,0,0,1,0,0,0,0,0,00,00,2,58,1,,,,10014,2,,00,01,2
14,000101900000000025019,00157.7207,003,1,0,1,1,0,0,0,1,0,01,00,1,72,2,,,,10011,2,,00,00,2
14,000102000000000025020,00157.7207,005,1,1,1,1,0,1,0,1,1,01,01,1,44,2,,,,60612,1,3,00,01,2
14,000102100000000025021,00157.7207,003,0,1,1,1,0,1,0,0,1,00,01,1,43,4,,,,24015,1,3,00,00,2
14,000102200000000025022,00157.7207,004,0,0,0,1,1,1,0,0,0,00,00,2,61,3,,,,24015,1,2,00,00,2
14,000102300000000025023,00157.7207,006,0,1,1,1,0,1,0,0,1,00,01,2,45,3,,,,60003,1,2,01,01,2
14,000102400000000025024,00170.6572,004,0,0,0,1,1,1,0,0,0,00,00,1,66,2,,,,24012,2,,00,00,1
14,000102500000000025025,00170.6572,001,0,0,0,1,0,1,0,0,0,00,00,1,32,4,,,,24015,1,1,00,00,1
14,000102600000000025026,00170.6572,005,1,0,1,1,0,1,0,1,0,01,00,1,36,2,,,,60314,1,2,00,01,1
14,000102700000000025027,00170.6572,006,1,1,1,1,0,1,0,1,1,02,01,2,76,3,,,,10018,2,,00,00,1
14,000102800000000025028,00170.6572,006,1,1,1,1,0,1,0,1,1,01,01,1,41,2,,,,60111,1,2,00,01,1
14,000102900000000025029,00170.6572,002,0,0,0,1,1,1,0,0,0,00,00,2,61,3,,,,24015,2,,01,01,1
14,000103000000000025030,00170.6572,007,1,0,1,1,1,1,0,1,0,01,00,1,58,2,,,,10018,1,3,00,01,1
14,000103100000000025031,00170.6572,005,1,1,1,1,0,1,0,1,1,01,01,1,38,2,,,,24013,1,3,00,01,1
14,000103200000000025032,00170.6572,003,0,0,0,1,0,0,0,0,0,00,00,2,70,4,,,,10014,2,,00,01,1
14,000103300000000025033,00170.6572,002,0,0,0,1,0,1,0,0,0,00,00,1,60,2,,,,10018,1,3,00,00,1
14,000103400000000025034,00170.6572,003,0,0,0,1,0,1,0,0,0,00,00,1,39,2,,,,24013,1,3,00,00,1
14,000103500000000025035,00170.6572,003,0,0,0,1,0,1,0,0,0,00,00,1,47,2,,,,24015,1,2,00,00,1
14,000103600000000025036,00170.6572,005,1,0,1,1,0,1,0,1,0,01,00,1,31,2,,,,10018,1,3,00,00,1
14,000103700000000025037,00170.6572,001,0,0,0,1,1,1,0,0,0,00,00,2,44,1,,,,24015,1,3,00,00,1
14,000103800000000025038,00170.6572,005,1,0,1,1,0,1,0,1,0,01,00,1,45,2,,,,60002,1,3,00,01,1
14,000103900000000025039,00170.6572,002,0,0,0,1,1,1,0,0,0,00,00,2,53,1,,,,50714,1,3,00,00,1
14,000104000000000025040,00170.6572,009,1,1,1,1,1,1,0,1,1,02,02,1,49,2,,,,60001,1,1,00,00,1
14,000104100000000025041,00214.8712,002,0,0,0,1,0,1,0,0,0,00,00,1,37,2,,,,24015,1,3,00,00,1
14,000104200000000025042,00214.8712,002,0,0,1,1,0,0,0,0,0,00,00,1,69,3,,,,60421,2,,00,01,1
14,000104300000000025043,00214.8712,001,0,0,0,1,0,1,0,0,0,00,00,1,31,2,,,,61013,1,1,00,01,1
14,000104400000000025044,00214.8712,004,1,0,1,1,0,1,0,1,0,01,00,1,29,2,,,,60001,1,1,00,00,1
14,000104500000000025045,00214.8712,003,0,1,1,1,0,1,0,0,0,00,00,1,69,2,,,,60413,1,2,00,01,1
14,000104600000000025046,00214.8712,002,0,0,0,1,0,1,0,0,0,00,00,1,63,2,,,,24015,1,3,00,00,1
14,000104700000000025047,00214.8712,006,1,1,1,1,1,0,1,1,1,01,01,1,17,1,4,,03,24015,1,3,01,01,1
14,000104800000000025048,00214.8712,005,1,0,1,1,1,1,0,1,0,02,00,1,51,2,,,,24011,1,3,00,00,1
14,000104900000000025049,00142.8291,005,0,1,1,1,0,1,0,0,1,00,01,1,57,2,,,,24015,1,3,00,01,2
14,000105000000000025050,00142.8291,005,1,0,1,1,0,1,0,1,0,02,00,1,60,2,,,,60111,1,2,00,01,2
14,000105100000000025051,00142.8291,006,1,0,1,1,0,1,0,1,0,01,00,1,62,2,,,,10018,1,3,01,00,2
14,000105200000000025052,00142.8291,004,1,0,1,1,0,1,0,1,0,02,00,1,37,2,,,,10018,1,1,00,00,2
14,000105300000000025053,00142.8291,004,0,0,0,1,0,1,0,0,0,00,00,1,35,2,,,,24015,1,1,00,00,2
14,000105400000000025054,00142.8291,005,1,0,1,1,0,1,0,0,0,00,00,2,62,3,,,,10015,1,1,01,00,2
14,000105500000000025055,00142.8291,002,0,0,0,1,0,1,0,0,0,00,00,1,76,2,,,,24013,1,3,01,01,2
14,000105600000000025056,00142.8291,005,1,1,1,1,0,1,0,1,1,01,01,1,41,2,,,,24015,1,3,00,01,2
14,000105700000000025057,00142.8291,003,1,0,1,1,0,1,0,0,0,00,00,2,41,3,,,,24015,1,3,00,01,2
14,000105800000000025058,00142.8291,002,0,0,0,1,0,1,0,0,0,00,00,1,45,2,,,,60732,1,3,00,00,2
14,000105900000000025059,00142.8291,001,0,0,0,1,0,1,0,0,0,00,00,2,59,3,,,,24015,1,3,01,01,2
14,000106000000000025060,00142.8291,004,0,0,1,1,1,1,1,0,0,00,00,1,60,2,,,,10018,2,,01,00,2
14,000106100000000025061,00142.8291,004,1,0,1,1,0,1,0,1,0,01,00,1,41,2,,,,24013,1,3,00,00,2
14,000106200000000025062,00142.8291,003,0,0,0,1,1,1,0,0,0,00,00,1,57,2,,,,10018,1,2,00,00,2
14,000106300000000025063,00142.8291,003,1,0,1,1,0,1,0,1,0,01,00,1,36,2,,,,10018,1,1,01,00,2
14,000106400000000025064,00146.7029,002,1,0,1,1,0,1,0,1,0,01,00,1,40,2,,,,24015,1,2,01,00,2
14,000106500000000025065,00146.7029,004,0,0,1,1,1,1,0,0,0,00,00,1,53,2,,,,24015,1,3,00,01,2
14,000106600000000025066,00146.7029,002,1,0,1,1,0,1,0,1,0,01,00,2,76,3,,,,10018,1,3,00,00,2
14,000106700000000025067,00146.7029,005,1,0,1,1,0,1,0,1,0,02,00,1,31,2,,,,10018,1,3,01,01,2
14,000106800000000025068,00146.7029,006,1,1,1,1,1,1,0,1,1,01,02,1,45,2,,,,24015,1,3,01,01,2
14,000106900000000025069,00146.7029,005,0,0,0,1,0,1,0,0,0,00,00,1,28,2,,,,24015,1,3,00,00,2
14,000107000000000025070,00146.7029,002,0,0,0,1,0,1,0,0,0,00,00,1,77,2,,,,24015,1,3,00,00,2
14,000107100000000025071,00146.7029,006,0,0,1,1,0,1,0,0,0,00,00,1,48,2,,,,60001,1,3,00,00,2
14,000107200000000025072,00146.7029,006,1,1,1,1,1,1,0,1,1,01,01,1,43,2,,,,24015,1,3,01,01,2
14,000107300000000025073,00146.7029,004,1,0,1,1,0,1,0,1,0,02,00,1,37,2,,,,24015,1,3,00,00,2
14,000107400000000025074,00146.7029,004,1,0,1,1,0,1,0,1,0,02,00,1,32,2,,,,24013,1,3,01,01,2
14,000107500000000025075,00146.7029,005,1,0,1,1,0,1,0,1,0,02,00,1,58,2,,,,60001,1,3,00,01,2
14,000107600000000025076,00176.3915,004,0,0,0,1,1,1,0,0,0,00,00,2,66,3,,,,60488,2,,01,01,1
14,000107700000000025077,00176.3915,002,0,0,0,1,1,1,0,0,0,00,00,1,39,1,,,,60411,1,2,00,01,1
14,000107800000000025078,00176.3915,002,0,0,0,1,0,1,0,0,0,00,00,1,57,2,,,,60003,1,4,00,01,1
14,000107900000000025079,00176.3915,006,1,0,1,1,0,1,0,1,0,01,00,2,46,3,,,,10018,1,3,01,00,1
14,000108000000000025080,00176.3915,007,1,0,1,1,0,1,0,1,0,02,00,2,39,2,,,,50714,1,3,01,00,1
14,000108100000000025081,00176.3915,004,0,0,0,1,1,1,0,0,0,00,00,2,65,2,,,,60413,1,1,01,01,1
14,000108200000000025082,00176.3915,002,0,0,0,1,1,1,0,0,0,00,00,2,53,2,,,,60411,1,4,01,01,1
14,000108300000000025083,00184.9349,006,1,1,1,1,0,1,0,1,0,02,00,1,49,2,,,,24015,1,3,01,01,2
14,000108400000000025084,00184.9349,007,1,0,1,1,1,1,0,1,0,02,00,1,54,2,,,,24015,1,3,01,01,2
14,000108500000000025085,00184.9349,004,1,1,1,1,0,1,0,1,1,01,01,1,70,2,,,,10012,1,3,01,00,2
14,000108600000000025086,00184.9349,004,0,0,1,1,0,1,0,0,0,00,00,1,74,2,,,,10018,1,3,00,00,2
14,000108700000000025087,00184.9349,003,1,1,1,1,0,1,0,1,1,01,01,2,51,3,,,,24015,1,3,00,00,2
14,000108800000000025088,00184.9349,004,1,0,1,1,0,0,0,1,0,02,00,2,31,2,,,,24015,2,,00,00,2
14,000108900000000025089,00184.9349,003,1,0,1,1,0,1,0,1,0,01,00,1,40,2,,,,24015,1,1,01,00,2
14,000109000000000025090,00169.8665,004,0,1,1,1,0,1,0,0,1,00,01,1,40,2,,,,24012,1,3,00,00,2
14,000109100000000025091,00169.8665,004,1,0,1,1,0,1,0,1,0,02,00,1,41,2,,,,24015,1,3,00,00,2
14,000109200000000025092,00169.8665,006,0,0,1,1,0,1,0,0,0,00,00,1,61,2,,,,10014,1,3,01,00,2
14,000109300000000025093,00169.8665,005,0,0,0,1,1,1,0,0,0,00,00,1,51,2,,,,10013,1,3,00,00,2
14,000109400000000025094,00169.8665,004,0,0,0,1,1,1,0,0,0,00,00,1,60,2,,,,10018,1,3,01,01,2
14,000109500000000025095,00169.8665,009,0,0,0,1,1,1,0,0,0,00,00,1,53,2,,,,24015,1,1,01,01,2
14,000109600000000025096,00169.8665,006,0,1,1,1,0,1,0,0,1,00,01,1,59,2,,,,24015,2,,01,00,2
14,000109700000000025097,00169.8665,005,0,0,0,1,1,1,0,0,0,00,00,1,53,2,,,,10015,1,3,01,01,2
14,000109800000000025098,00169.8665,004,0,1,1,1,0,1,0,0,1,00,02,1,41,2,,,,24012,1,3,00,00,2
14,000109900000000025099,00169.8665,007,1,1,1,1,0,1,0,1,1,01,02,1,55,2,,,,24013,1,3,01,01,2
14,000110000000000025100,00169.8665,003,1,0,1,1,0,1,0,1,0,01,00,1,32,2,,,,24015,1,1,01,01,2
14,000110100000000025101,00169.8665,004,0,0,0,1,0,1,0,0,0,00,00,2,78,3,,,,10011,2,,01,00,2
14,000110200000000025102,00169.8665,005,0,0,0,1,0,1,0,0,0,00,00,2,41,2,,,,50415,1,2,00,01,2
14,000110300000000025103,00169.8665,005,1,0,1,1,0,1,0,1,0,01,00,1,44,2,,,,60716,1,3,00,01,2
14,000110400000000025104,00169.8665,005,1,0,1,1,0,1,0,1,0,01,00,2,64,3,,,,70010,1,2,01,01,2
14,000110500000000025105,00145.0057,007,1,0,1,1,0,1,0,1,0,01,00,1,51,2,,,,10018,1,2,01,00,2
14,000110600000000025106,00145.0057,006,1,1,1,1,0,1,0,1,1,02,01,1,35,2,,,,24015,1,1,01,00,2
14,000110700000000025107,00145.0057,003,0,0,1,1,0,1,0,0,0,00,00,1,41,2,,,,24015,1,3,00,00,2
14,000110800000000025108,00145.0057,003,1,0,1,1,0,1,0,1,0,01,00,1,26,2,,,,60002,1,3,01,00,2
