REG,HHID,H3,H4,H6,H8,H5_A,H5_B,H5_C,H5_D,H5_E,H5_F,H7_A,H7_B,H7_C,H7_D,H7_E,H7_F,H9_A,H9_B,H9_C,H9_D,H9_E,H9_F,H9_G,H9_H,H9_I,H9_J,H9_K,H9_L,H9_M
14,000100100000000025001,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100200000000025002,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100300000000025003,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100400000000025004,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100500000000025005,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100600000000025006,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100700000000025007,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100800000000025008,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000100900000000025009,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101000000000025010,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101100000000025011,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101200000000025012,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101300000000025013,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101400000000025014,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101500000000025015,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101600000000025016,1,1,2,2,,,,,5,,,,,,,,,,,,,,,,,,,,
14,000101700000000025017,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101800000000025018,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000101900000000025019,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000102000000000025020,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000102100000000025021,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000102200000000025022,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000102300000000025023,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
14,000102400000000025024,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
