"hhid","h04_sex","h14_cls_wkr","h06_status","urb","age_group"
"1974000000000043740",1,0,2,1,"60 to 69"
"989600000000033896",1,0,2,1,"60 to 69"
"888200000000032882",1,0,2,1,"40 to 49"
"887900000000032879",1,0,2,1,"50 to 59"
"988200000000033882",1,0,3,2,"70 to 79"
"2385900000000047859",1,0,2,1,"40 to 49"
"1392800000000037928",1,0,2,2,"40 to 49"
"149300000000025493",1,0,2,1,"30 to 39"
"1403300000000038033",1,0,2,1,"30 to 39"
"1392700000000037927",1,0,2,2,"60 to 69"
"3108200000000055082",1,0,2,2,"30 to 39"
"3040400000000054404",1,0,2,2,"30 to 39"
"986900000000033869",1,0,2,1,"50 to 59"
"174000000000025740",1,0,2,2,"40 to 49"
"736400000000031364",1,0,2,2,"40 to 49"
"2744200000000051442",1,0,2,1,"18 to 29"
"985900000000033859",1,0,2,1,"50 to 59"
"3278800000000056788",1,0,2,1,"50 to 59"
"3678100000000060781",1,0,2,1,"30 to 39"
"1639300000000040393",1,0,2,2,"30 to 39"
"3279800000000056798",1,0,2,1,"50 to 59"
"985800000000033858",1,0,2,1,"70 to 79"
"1391800000000037918",1,0,2,2,"30 to 39"
"148000000000025480",1,0,2,2,"50 to 59"
"624700000000030247",1,0,2,1,"50 to 59"
"3108800000000055088",1,0,2,2,"40 to 49"
"1403100000000038031",1,0,2,1,"30 to 39"
"1971700000000043717",1,0,2,1,"40 to 49"
"2608500000000050085",1,0,3,2,"30 to 39"
"2220000000000046200",1,0,2,1,"40 to 49"
"623500000000030235",1,0,2,1,"50 to 59"
"3618500000000060185",1,0,2,1,"40 to 49"
"2934000000000053340",1,0,2,2,"50 to 59"
"1665200000000040652",1,0,2,2,"60 to 69"
"1489200000000038892",1,0,2,2,"30 to 39"
"3796600000000061966",1,0,2,2,"40 to 49"
"621000000000030210",1,0,5,1,"40 to 49"
"620400000000030204",1,0,2,1,"18 to 29"
"716200000000031162",1,0,2,2,"30 to 39"
"620200000000030202",1,0,2,1,"40 to 49"
"3910900000000063109",1,0,1,1,"30 to 39"
"2740600000000051406",1,0,1,1,"60 to 69"
"2661300000000050613",1,0,2,2,"40 to 49"
"982400000000033824",1,0,2,2,"40 to 49"
"619700000000030197",1,0,2,1,"60 to 69"
"1738000000000041380",1,0,2,1,"40 to 49"
"311400000000027114",1,0,2,1,"60 to 69"
"2382500000000047825",1,0,2,1,"30 to 39"
"619600000000030196",1,0,2,1,"50 to 59"
"2937100000000053371",1,0,2,2,"30 to 39"
"2382200000000047822",1,0,2,1,"30 to 39"
"3108900000000055089",1,0,2,2,"30 to 39"
"1403000000000038030",1,0,2,1,"40 to 49"
"441300000000028413",1,0,2,2,"60 to 69"
"2227300000000046273",1,0,4,1,"50 to 59"
"619100000000030191",1,0,2,1,"50 to 59"
"1423800000000038238",1,0,2,2,"60 to 69"
"1955000000000043550",1,0,2,2,"30 to 39"
"3591800000000059918",1,0,2,1,"40 to 49"
"3800300000000062003",1,0,2,1,"70 to 79"
"264100000000026641",1,0,2,2,"60 to 69"
"2495700000000048957",1,0,2,1,"30 to 39"
"2228300000000046283",1,0,2,2,"40 to 49"
"545900000000029459",1,0,2,2,"40 to 49"
"1152300000000035523",1,0,1,2,"30 to 39"
"546100000000029461",1,0,2,2,"50 to 59"
"1739400000000041394",1,0,2,1,"40 to 49"
"886300000000032863",1,0,3,1,"70 to 79"
"3460300000000058603",1,0,2,1,"40 to 49"
"546200000000029462",1,0,1,2,"30 to 39"
