"hhid","h04_sex","h13_did_work","h14_cls_wkr","hgc"
"3048700000000054487",1,1,3,"JHS Graduate"
"100200000000025002",1,1,4,"Elementary Graduate"
"100300000000025003",1,1,3,"JHS Graduate"
"100400000000025004",1,2,"","Bachelor Level Education Graduate"
"100500000000025005",1,1,1,"Elementary Graduate"
"2814100000000052141",1,2,"","JHS Graduate"
"2814200000000052142",1,1,3,"JHS Graduate"
"2814300000000052143",1,1,4,"Elementary Graduate"
"2814500000000052145",1,1,1,"Grade 1 to Grade 6/7"
"2814600000000052146",1,1,1,"JHS Undergraduate"
"2814700000000052147",1,1,1,"Grade 1 to Grade 6/7"
"2814800000000052148",1,1,3,"JHS Graduate"
"2814900000000052149",1,1,1,"No Grade Completed"
"2815000000000052150",1,1,3,"JHS Graduate"
"2815100000000052151",1,1,3,"JHS Graduate"
"2815300000000052153",1,1,3,"Grade 1 to Grade 6/7"
"2815400000000052154",1,1,1,"Elementary Graduate"
"2815500000000052155",1,1,1,"Grade 1 to Grade 6/7"
"2815600000000052156",1,1,4,"Elementary Graduate"
"2815700000000052157",1,1,3,"Post Secondary/Non Tertiary Education Graduate"
"2815800000000052158",1,1,1,"Elementary Graduate"
"2815900000000052159",1,1,3,"JHS Undergraduate"
"2816100000000052161",1,1,1,"Grade 1 to Grade 6/7"
"2816200000000052162",1,1,1,"JHS Undergraduate"
"2816400000000052164",1,1,1,"JHS Graduate"
"2816500000000052165",1,1,1,"Elementary Graduate"
"2816600000000052166",1,1,1,"JHS Graduate"
"2816700000000052167",1,1,1,"Elementary Graduate"
"2816800000000052168",1,1,1,"Elementary Graduate"
"2816900000000052169",1,1,3,"JHS Graduate"
"2817000000000052170",1,1,2,"JHS Graduate"
"2817100000000052171",1,1,1,"JHS Graduate"
"2817300000000052173",1,1,1,"JHS Graduate"
"2817400000000052174",1,1,2,"Bachelor Level Education Graduate"
"2817500000000052175",1,2,"","Bachelor Level Education Graduate"
"2817600000000052176",1,1,1,"Bachelor Level Education Graduate"
"2817700000000052177",1,1,1,"JHS Graduate"
"2817800000000052178",1,1,3,"JHS Graduate"
"2817900000000052179",1,2,"","Grade 1 to Grade 6/7"
"2818000000000052180",1,1,1,"JHS Graduate"
"2818200000000052182",1,1,3,"JHS Undergraduate"
"2818300000000052183",1,1,1,"Elementary Graduate"
"2818400000000052184",1,1,3,"Bachelor Level Education Graduate"
"2818500000000052185",1,1,3,"JHS Graduate"
"2818600000000052186",1,2,"","Grade 1 to Grade 6/7"
"2818700000000052187",1,1,1,"Grade 1 to Grade 6/7"
"2818800000000052188",1,1,3,"Elementary Graduate"
"2818900000000052189",1,2,"","JHS Graduate"
"2819000000000052190",1,1,2,"Bachelor Level Education Graduate"
"2819100000000052191",1,1,3,"JHS Graduate"
"2819200000000052192",1,1,1,"JHS Graduate"
"2819300000000052193",1,2,"","JHS Undergraduate"
"2819400000000052194",1,1,3,"Elementary Graduate"
"2819500000000052195",1,1,3,"Bachelor Level Education Graduate"
"2819600000000052196",1,2,"","Short Cycle Tertiary Education Graduate"
"2819700000000052197",1,2,"","JHS Graduate"
"2819800000000052198",1,1,1,"JHS Graduate"
"2820000000000052200",1,1,1,"JHS Graduate"
"2820100000000052201",1,2,"","Grade 1 to Grade 6/7"
"2820200000000052202",1,1,1,"JHS Graduate"
"2820400000000052204",1,1,1,"No Grade Completed"
"2820500000000052205",1,1,1,"Grade 1 to Grade 6/7"
"2820700000000052207",1,1,3,"Short Cycle Tertiary Education Graduate"
"2820900000000052209",1,1,2,"JHS Graduate"
"2821000000000052210",1,1,2,"Bachelor Level Education Graduate"
"2821200000000052212",1,1,3,"JHS Graduate"
"2821300000000052213",1,1,3,"Grade 1 to Grade 6/7"
"2821400000000052214",1,1,3,"JHS Undergraduate"
"2821500000000052215",1,1,2,"Post Secondary/Non Tertiary Education Graduate"
"2821600000000052216",1,1,3,"JHS Undergraduate"
"2821700000000052217",1,1,2,"Grade 1 to Grade 6/7"
"2821800000000052218",1,1,3,"Grade 1 to Grade 6/7"
"2821900000000052219",1,1,3,"JHS Undergraduate"
"2822000000000052220",1,1,3,"No Grade Completed"
"2822100000000052221",1,1,3,"JHS Graduate"
"2822200000000052222",1,1,3,"No Grade Completed"
"2822300000000052223",1,1,3,"Grade 1 to Grade 6/7"
"2822400000000052224",1,1,3,"Grade 1 to Grade 6/7"
"2822500000000052225",1,1,3,"Grade 1 to Grade 6/7"
"2822600000000052226",1,1,3,"Grade 1 to Grade 6/7"
"2822700000000052227",1,1,1,"JHS Undergraduate"
"2822800000000052228",1,1,3,"Bachelor Level Education Graduate"
"2822900000000052229",1,2,"","Grade 1 to Grade 6/7"
"2823000000000052230",1,2,"","Grade 1 to Grade 6/7"
"2823200000000052232",1,1,3,"JHS Graduate"
"2823300000000052233",1,1,1,"No Grade Completed"
"2823400000000052234",1,1,3,"Grade 1 to Grade 6/7"
"2823500000000052235",1,1,3,"Grade 1 to Grade 6/7"
"2823700000000052237",1,1,3,"Grade 1 to Grade 6/7"
"2823800000000052238",1,1,3,"Grade 1 to Grade 6/7"
"2823900000000052239",1,1,2,"JHS Graduate"
"2824000000000052240",1,1,3,"JHS Undergraduate"
"2824100000000052241",1,1,3,"Grade 1 to Grade 6/7"
"2824300000000052243",1,1,3,"JHS Graduate"
"2824500000000052245",1,1,3,"Grade 1 to Grade 6/7"
"2824600000000052246",1,1,2,"JHS Graduate"
"2824700000000052247",1,1,3,"Grade 1 to Grade 6/7"
"2824800000000052248",1,1,1,"JHS Graduate"
"2824900000000052249",1,1,1,"JHS Graduate"
"2825000000000052250",1,1,4,"JHS Undergraduate"
"2825100000000052251",1,1,3,"JHS Undergraduate"
"2825200000000052252",1,1,3,"Elementary Graduate"
"2825300000000052253",1,1,3,"No Grade Completed"
"2825400000000052254",1,1,1,"JHS Undergraduate"
"2825500000000052255",1,1,3,"JHS Graduate"
"2825600000000052256",1,1,3,"Grade 1 to Grade 6/7"
"2825700000000052257",1,1,3,"Bachelor Level Education Undergrad"
"2825900000000052259",1,1,3,"Elementary Graduate"
"2826100000000052261",1,1,1,"JHS Graduate"
"2826200000000052262",1,1,1,"No Grade Completed"
"2826300000000052263",1,1,3,"JHS Graduate"
"2826400000000052264",1,1,1,"Grade 1 to Grade 6/7"
"2826500000000052265",1,1,3,"JHS Undergraduate"
"2826600000000052266",1,1,1,"Elementary Graduate"
"2826700000000052267",1,1,3,"JHS Undergraduate"
"2826800000000052268",1,1,3,"Grade 1 to Grade 6/7"
"2826900000000052269",1,1,2,"Bachelor Level Education Graduate"
"2827100000000052271",1,1,2,"Bachelor Level Education Undergrad"
"2827200000000052272",1,1,1,"JHS Graduate"
"2827300000000052273",1,1,3,"JHS Graduate"
"2827500000000052275",1,1,1,"Grade 1 to Grade 6/7"
"2827600000000052276",1,2,"","JHS Graduate"
"2827700000000052277",1,1,1,"Grade 1 to Grade 6/7"
"2827900000000052279",1,1,3,"JHS Graduate"
"2828100000000052281",1,1,3,"Grade 1 to Grade 6/7"
"2828300000000052283",1,1,3,"Grade 1 to Grade 6/7"
"2828400000000052284",1,1,3,"JHS Graduate"
"2828500000000052285",1,1,1,"JHS Graduate"
"2828600000000052286",1,1,3,"Grade 1 to Grade 6/7"
"2828700000000052287",1,1,3,"Grade 1 to Grade 6/7"
"2828800000000052288",1,2,"","Grade 1 to Grade 6/7"
"2828900000000052289",1,1,3,"No Grade Completed"
"2829100000000052291",1,1,3,"Grade 1 to Grade 6/7"
"2829200000000052292",1,1,3,"Grade 1 to Grade 6/7"
"2829400000000052294",1,1,1,"Grade 1 to Grade 6/7"
"2829600000000052296",1,1,3,"No Grade Completed"
"2829700000000052297",1,1,1,"Grade 1 to Grade 6/7"
"2829800000000052298",1,1,1,"Grade 1 to Grade 6/7"
"2829900000000052299",1,1,1,"No Grade Completed"
"2830100000000052301",1,1,1,"Grade 1 to Grade 6/7"
"2830200000000052302",1,1,3,"Grade 1 to Grade 6/7"
"2830300000000052303",1,1,3,"Grade 1 to Grade 6/7"
"2830400000000052304",1,1,3,"Grade 1 to Grade 6/7"
"2830500000000052305",1,1,3,"Grade 1 to Grade 6/7"
"2830600000000052306",1,1,3,"JHS Undergraduate"
"2830700000000052307",1,1,3,"Grade 1 to Grade 6/7"
"2830800000000052308",1,1,3,"Grade 1 to Grade 6/7"
"2830900000000052309",1,1,3,"Grade 1 to Grade 6/7"
"2831000000000052310",1,1,3,"Grade 1 to Grade 6/7"
"2831100000000052311",1,1,3,"No Grade Completed"
"2831200000000052312",1,1,3,"Grade 1 to Grade 6/7"
"2831300000000052313",1,1,3,"Grade 1 to Grade 6/7"
"2831400000000052314",1,1,3,"Grade 1 to Grade 6/7"
"2831500000000052315",1,1,3,"Grade 1 to Grade 6/7"
"2831700000000052317",1,1,4,"Elementary Graduate"
"2832000000000052320",1,1,6,"Grade 1 to Grade 6/7"
"2832100000000052321",1,1,3,"JHS Graduate"
"2832200000000052322",1,1,5,"Grade 1 to Grade 6/7"
"2832300000000052323",1,2,"","JHS Graduate"
"2832400000000052324",1,1,1,"Grade 1 to Grade 6/7"
"2832500000000052325",1,1,3,"Elementary Graduate"
"2832600000000052326",1,1,1,"Grade 1 to Grade 6/7"
"2832700000000052327",1,1,1,"Grade 1 to Grade 6/7"
"2832800000000052328",1,2,"","Pre-School (Nursery/Kinder/Prep)"
"2832900000000052329",1,1,3,"Elementary Graduate"
"2833000000000052330",1,2,"","Grade 1 to Grade 6/7"
"2833100000000052331",1,1,3,"Grade 1 to Grade 6/7"
"2833200000000052332",1,1,3,"Grade 1 to Grade 6/7"
"2833300000000052333",1,1,2,"Master Level Education Graduate"
"2833400000000052334",1,1,5,"JHS Undergraduate"
"2833500000000052335",1,1,3,"JHS Undergraduate"
"2833600000000052336",1,1,3,"Grade 1 to Grade 6/7"
"2833700000000052337",1,2,"","JHS Undergraduate"
"2833800000000052338",1,1,3,"Elementary Graduate"
"2833900000000052339",1,2,"","Grade 1 to Grade 6/7"
"2834100000000052341",1,1,3,"Grade 1 to Grade 6/7"
"2834200000000052342",1,1,3,"JHS Undergraduate"
"2834300000000052343",1,2,"","JHS Undergraduate"
"2834400000000052344",1,1,4,"Grade 1 to Grade 6/7"
"2834600000000052346",1,1,1,"Grade 1 to Grade 6/7"
"2834700000000052347",1,1,1,"JHS Graduate"
"2834800000000052348",1,1,3,"Grade 1 to Grade 6/7"
"2834900000000052349",1,1,1,"Grade 1 to Grade 6/7"
"2835000000000052350",1,1,1,"Grade 1 to Grade 6/7"
"2835100000000052351",1,1,3,"Grade 1 to Grade 6/7"
"2835200000000052352",1,1,1,"JHS Undergraduate"
"2835300000000052353",1,1,1,"Grade 1 to Grade 6/7"
"2835500000000052355",1,1,4,"Post Secondary/Non Tertiary Education Undergrad"
"2835600000000052356",1,1,2,"JHS Graduate"
"2835700000000052357",1,1,1,"JHS Graduate"
"2835800000000052358",1,1,4,"JHS Graduate"
"2835900000000052359",1,1,1,"Grade 1 to Grade 6/7"
"2836000000000052360",1,1,1,"JHS Graduate"
"2836200000000052362",1,1,1,"JHS Graduate"
"2836400000000052364",1,1,1,"Post Secondary/Non Tertiary Education Undergrad"
"2836600000000052366",1,1,3,"Grade 1 to Grade 6/7"
"2836700000000052367",1,1,1,"JHS Graduate"
"2836800000000052368",1,1,1,"JHS Undergraduate"
"2836900000000052369",1,1,1,"JHS Undergraduate"
"2837000000000052370",1,2,"","JHS Graduate"
"2837200000000052372",1,1,1,"Grade 1 to Grade 6/7"
"2837300000000052373",1,1,3,"Short Cycle Tertiary Education Undergrad"
"2837400000000052374",1,1,1,"JHS Graduate"
"2837500000000052375",1,1,1,"Grade 1 to Grade 6/7"
"2837600000000052376",1,1,3,"Bachelor Level Education Graduate"
"2837700000000052377",1,1,3,"JHS Graduate"
"2837800000000052378",1,2,"","Bachelor Level Education Graduate"
"2837900000000052379",1,1,3,"JHS Graduate"
"2838100000000052381",1,1,1,"Bachelor Level Education Undergrad"
"2838200000000052382",1,1,1,"Grade 1 to Grade 6/7"
"2838300000000052383",1,1,3,"Grade 1 to Grade 6/7"
"2838400000000052384",1,1,1,"Elementary Graduate"
"2838500000000052385",1,1,4,"Elementary Graduate"
"2838600000000052386",1,1,3,"Bachelor Level Education Graduate"
"2838800000000052388",1,1,2,"Bachelor Level Education Graduate"
"2838900000000052389",1,1,3,"JHS Graduate"
"2839000000000052390",1,1,1,"JHS Graduate"
"2839100000000052391",1,1,1,"Grade 1 to Grade 6/7"
"2839200000000052392",1,1,1,"Elementary Graduate"
"2839400000000052394",1,1,4,"Post Secondary/Non Tertiary Education Undergrad"
"2839500000000052395",1,1,1,"Bachelor Level Education Graduate"
"2839700000000052397",1,1,1,"Elementary Graduate"
"2839800000000052398",1,1,2,"JHS Graduate"
"2839900000000052399",1,1,3,"JHS Graduate"
"2840000000000052400",1,2,"","Elementary Graduate"
"2840300000000052403",1,1,3,"JHS Undergraduate"
"2840400000000052404",1,1,3,"JHS Graduate"
"2840500000000052405",1,1,1,"Grade 1 to Grade 6/7"
"2840600000000052406",1,1,4,"JHS Graduate"
"2840700000000052407",1,1,2,"Bachelor Level Education Graduate"
"2840900000000052409",1,2,"","Bachelor Level Education Graduate"
"2841000000000052410",1,2,"","Bachelor Level Education Graduate"
"2841100000000052411",1,1,1,"JHS Graduate"
"2841200000000052412",1,2,"","JHS Graduate"
"2841400000000052414",1,1,1,"JHS Graduate"
"2841500000000052415",1,1,1,"Elementary Graduate"
"2841600000000052416",1,1,4,"JHS Graduate"
"2841800000000052418",1,1,3,"JHS Graduate"
"2841900000000052419",1,1,3,"JHS Graduate"
"2842000000000052420",1,2,"","Grade 1 to Grade 6/7"
"2842100000000052421",1,1,3,"Bachelor Level Education Graduate"
"2842300000000052423",1,2,"","Grade 1 to Grade 6/7"
"2842400000000052424",1,1,5,"Elementary Graduate"
"2842500000000052425",1,1,3,"JHS Graduate"
"2842600000000052426",1,1,3,"JHS Undergraduate"
"2842700000000052427",1,1,3,"JHS Graduate"
"2842800000000052428",1,1,0,"JHS Graduate"
"2842900000000052429",1,2,"","Bachelor Level Education Graduate"
"2843100000000052431",1,1,1,"JHS Undergraduate"
"2843200000000052432",1,1,4,"JHS Graduate"
"2843300000000052433",1,1,1,"Bachelor Level Education Graduate"
"2843400000000052434",1,2,"","Grade 1 to Grade 6/7"
"2843500000000052435",1,1,1,"Grade 1 to Grade 6/7"
"2843600000000052436",1,1,3,"No Grade Completed"
"2843700000000052437",1,1,3,"Elementary Graduate"
"2844200000000052442",1,1,1,"Elementary Graduate"
"2844300000000052443",1,1,1,"Post Secondary/Non Tertiary Education Graduate"
"2844400000000052444",1,2,"","JHS Undergraduate"
"2844500000000052445",1,2,"","Grade 1 to Grade 6/7"
"2844600000000052446",1,1,4,"Grade 1 to Grade 6/7"
"2844700000000052447",1,2,"","Grade 1 to Grade 6/7"
"2844800000000052448",1,2,"","Grade 1 to Grade 6/7"
"2844900000000052449",1,2,"","Grade 1 to Grade 6/7"
"2845000000000052450",1,1,5,"JHS Undergraduate"
"2845100000000052451",1,2,"","Bachelor Level Education Undergrad"
"2845300000000052453",1,2,"","Grade 1 to Grade 6/7"
"2845400000000052454",1,2,"","Grade 1 to Grade 6/7"
"2845500000000052455",1,2,"","JHS Undergraduate"
"2845600000000052456",1,1,4,"JHS Undergraduate"
"2845700000000052457",1,2,"","Grade 1 to Grade 6/7"
"2845800000000052458",1,2,"","Grade 1 to Grade 6/7"
"2845900000000052459",1,2,"","Grade 1 to Grade 6/7"
"2846100000000052461",1,2,"","Grade 1 to Grade 6/7"
"2846200000000052462",1,2,"","Grade 1 to Grade 6/7"
"2846300000000052463",1,2,"","Grade 1 to Grade 6/7"
"2846400000000052464",1,1,3,"Grade 1 to Grade 6/7"
"2846500000000052465",1,1,0,"Grade 1 to Grade 6/7"
"2846600000000052466",1,1,3,"Grade 1 to Grade 6/7"
"2846700000000052467",1,2,"","Grade 1 to Grade 6/7"
"2846800000000052468",1,2,"","JHS Undergraduate"
"2846900000000052469",1,1,3,"JHS Graduate"
"2847000000000052470",1,2,"","Grade 1 to Grade 6/7"
"2847100000000052471",1,1,3,"Grade 1 to Grade 6/7"
"2847200000000052472",1,1,3,"No Grade Completed"
"2847500000000052475",1,1,3,"No Grade Completed"
"2847600000000052476",1,1,3,"No Grade Completed"
"2847700000000052477",1,1,3,"Grade 1 to Grade 6/7"
"2847800000000052478",1,1,3,"No Grade Completed"
"2847900000000052479",1,1,3,"Grade 1 to Grade 6/7"
"2848000000000052480",1,2,"","No Grade Completed"
"2848100000000052481",1,1,3,"No Grade Completed"
"2848300000000052483",1,1,3,"No Grade Completed"
"2848400000000052484",1,1,3,"Grade 1 to Grade 6/7"
"2848600000000052486",1,1,3,"Grade 1 to Grade 6/7"
"2848700000000052487",1,1,3,"Grade 1 to Grade 6/7"
"2848800000000052488",1,1,3,"Grade 1 to Grade 6/7"
"2848900000000052489",1,1,3,"Grade 1 to Grade 6/7"
"2849000000000052490",1,1,3,"Grade 1 to Grade 6/7"
"2849100000000052491",1,1,3,"Grade 1 to Grade 6/7"
"2849200000000052492",1,1,3,"No Grade Completed"
"2849300000000052493",1,1,3,"No Grade Completed"
"2849400000000052494",1,1,3,"Bachelor Level Education Undergrad"
"2849500000000052495",1,1,3,"Grade 1 to Grade 6/7"
"2849600000000052496",1,1,3,"Grade 1 to Grade 6/7"
"2849700000000052497",1,1,3,"Grade 1 to Grade 6/7"
"2849800000000052498",1,1,3,"Grade 1 to Grade 6/7"
"2849900000000052499",1,1,3,"Grade 1 to Grade 6/7"
"2850000000000052500",1,1,3,"Grade 1 to Grade 6/7"
"2850100000000052501",1,1,3,"No Grade Completed"
"2850200000000052502",1,1,3,"Grade 1 to Grade 6/7"
"2850300000000052503",1,1,3,"Bachelor Level Education Graduate"
"2850400000000052504",1,1,3,"Grade 1 to Grade 6/7"
"2850500000000052505",1,1,3,"Grade 1 to Grade 6/7"
"2850600000000052506",1,1,2,"Grade 1 to Grade 6/7"
"2850700000000052507",1,1,3,"No Grade Completed"
"2850900000000052509",1,1,3,"No Grade Completed"
"2851000000000052510",1,1,3,"No Grade Completed"
"2851100000000052511",1,1,3,"No Grade Completed"
"2851200000000052512",1,1,3,"No Grade Completed"
"2851300000000052513",1,1,3,"Grade 1 to Grade 6/7"
"2851400000000052514",1,1,3,"JHS Undergraduate"
"2851700000000052517",1,1,3,"Grade 1 to Grade 6/7"
"2851800000000052518",1,1,3,"Bachelor Level Education Graduate"
"2851900000000052519",1,1,3,"Grade 1 to Grade 6/7"
"2852000000000052520",1,1,3,"Grade 1 to Grade 6/7"
"2852100000000052521",1,1,3,"Grade 1 to Grade 6/7"
"2852200000000052522",1,1,3,"Grade 1 to Grade 6/7"
"2852500000000052525",1,1,3,"Grade 1 to Grade 6/7"
"2852600000000052526",1,1,3,"Grade 1 to Grade 6/7"
"2852700000000052527",1,1,3,"Grade 1 to Grade 6/7"
"2852800000000052528",1,1,3,"JHS Undergraduate"
"2852900000000052529",1,1,3,"No Grade Completed"
"2853000000000052530",1,1,3,"Bachelor Level Education Undergrad"
"2853100000000052531",1,1,3,"No Grade Completed"
"2853200000000052532",1,1,3,"No Grade Completed"
"2853300000000052533",1,1,3,"Post Secondary/Non Tertiary Education Undergrad"
"2853400000000052534",1,1,3,"Grade 1 to Grade 6/7"
"2853500000000052535",1,1,3,"Elementary Graduate"
"2853600000000052536",1,1,3,"JHS Undergraduate"
"2853700000000052537",1,1,3,"No Grade Completed"
"2853800000000052538",1,1,3,"Grade 1 to Grade 6/7"
"2853900000000052539",1,1,3,"No Grade Completed"
"2854000000000052540",1,1,3,"No Grade Completed"
"2854100000000052541",1,1,3,"Grade 1 to Grade 6/7"
"2854200000000052542",1,1,3,"JHS Undergraduate"
"2854300000000052543",1,1,3,"Grade 1 to Grade 6/7"
